GENE	GeneLength
SUSD4	2990
SUSD1	3295
SCT	534
PPTC7	4644
PLN	2480
AKAP12	6244
COLEC10	4587
TCTN1	2790
GM9766	2691
AI481877	4664
CAPN8	2483
ATP6V0A4	3307
SLC35F1	4941
FAM65A	4109
SAMD10	2164
GNG10	1192
DOCK10	7303
PHRF1	5271
MCL1	3485
NFE2L1	4654
RASSF7	1525
ENSA	2276
MED30	871
TM6SF1	3419
NEPN	1826
POLR3K	2948
ZKSCAN16	2794
DEGS1	2048
LRRC56	4340
AKR1D1	2699
CTSS	1355
POLD1	3496
FAM103A1	1452
CREB3L2	7082
RNH1	1801
SYCP2L	1459
CYP3A16	1730
C030046E11RIK	7190
FSD2	3985
HERC1	15153
DGKI	4596
LPAR1	3543
MYBPC2	3624
ARFRP1	2483
UCN	504
SCUBE3	6699
TRPS1	10200
PAK1IP1	3136
RTEL1	4448
ATP5J2	955
MBD3L1	844
HOXB4	4149
JOSD2	1128
MAPKAP1	3111
TAF5L	2912
HOXB5	2812
DSEL	5754
ASPDH	1016
GMEB2	4121
GOLGA4	7535
TXNDC8	620
FAM63A	3548
ATP5L	511
PBX3	2856
HOXB7	3831
BUD31	928
PKHD1L1	12747
AKAP2	7231
MBOAT1	2896
WDR26	6619
NUDCD1	3447
SHANK1	7605
FAM125B	4998
ANGPTL6	1581
NLRP6	3823
OMT2B	735
PTK6	3689
ELOVL3	1881
TTLL6	3485
NUP205	6265
TRHR	3976
ABCF1	3161
ALPK3	6369
PTPN3	6369
LMX1B	4790
GABPB2	8661
9130409I23RIK	1898
KPNA7	2453
KDM3B	7112
ASCC3	7477
VILL	3901
EPHX1	1741
SEMA6C	5095
SMURF1	5420
STAP2	1491
1700028J19RIK	1245
CNOT4	5605
SCGB3A2	836
4931403M11RIK	986
LEFTY1	1620
ZSCAN2	2289
SCGB1C1	436
OST4	1144
SIX3	5349
SDE2	3173
RAP1GAP2	6566
GNGT2	1587
TRMT112	985
CTNNAL1	3795
HACE1	10257
BC026590	4360
TMEM214	4554
RALGPS1	6273
AGBL3	4819
VARS2	4425
BIRC7	1529
GCNT1	4606
KIF16B	6383
PHB	1799
YTHDF1	3184
ITPKB	6235
BAIAP2L1	3247
GARNL3	3878
PI4KB	3692
ZCCHC2	6651
BPGM	2220
ZFHX3	16439
RNF146	4402
NIPAL2	3825
MRPS34	1884
PRL3A1	1335
A230050P20RIK	3210
MAN2A2	6553
CTU1	2475
PRL3B1	875
FAM117A	2317
IRS2	4024
ZFP653	2132
RPL12	1242
POGZ	6399
CCDC68	1618
MYST2	3560
PLCL2	4050
DIDO1	8723
6330407J23RIK	3948
3930402G23RIK	2847
E330034G19RIK	1544
RCCD1	2595
TCFL5	2225
SCCPDH	3561
PRC1	3645
CNST	4709
SUPT3H	2884
EDC3	5708
SLCO4A1	3101
UBE2L3	3015
PDK2	2246
KLK1B16	1384
LMTK2	8114
CLDND2	658
RABGGTB	1476
PPP1R9B	4508
BC066135	2319
BLOC1S5	1766
TSPYL5	4008
1700019L03RIK	1730
CABLES2	4561
TXNDC5	2781
HILS1	796
ASB17	2553
UBE3C	5033
RPS21	481
BMP6	2410
TLR4	4077
PGCP	1923
SIGLEC5	2607
TIMM8B	527
MTG1	2133
TTC16	3714
ARHGAP18	3651
TSGA13	1141
TASP1	2480
ST6GALNAC5	5667
ADRM1	4131
2610034B18RIK	2277
USP6NL	7484
PIGK	4609
FOXRED1	3260
OSBPL2	2805
EME1	2444
MYO16	6725
AK5	3103
HRH3	2706
ANPEP	3797
ECHDC3	1851
FAM173B	4655
PSMD7	1599
ZZZ3	7607
GTPBP5	2702
CPA4	2739
TRHR2	1340
ZFP503	4213
CHAD	1680
SS18L1	4343
RREB1	9702
L3MBTL3	4572
SPTLC3	2759
EN2	4983
RSAD1	4203
RLN1	697
GM9767	1193
WDR93	2285
42069	6236
NEXN	2562
ATP6V1G1	1135
HTR5A	5576
LSM14B	2566
F13A1	3877
MYCBPAP	3415
NRN1	1619
ITGA9	7020
GPR126	6505
TAF4A	4422
PRUNE2	12512
CDC123	1827
ZC3HC1	2908
GIPC2	1596
9330171B17RIK	1987
WHRN	4049
4930591A17RIK	737
CAMK1D	6962
H28	486
SART1	5091
RUNX2	6463
SHD	1549
CDH26	2908
STIM2	5016
FAM102A	5935
AKNA	5387
UBE2H	4657
CMC1	1181
NAIF1	4650
AKAP7	2391
ELTD1	4106
DAP	1481
1700003H04RIK	1042
POLG	5277
TBC1D19	2688
TEKT5	1803
AW209491	2010
NUBP2	1430
FANCI	4619
RBPJ	5541
NLRC4	3838
RLBP1	2202
1110008P14RIK	2618
ORM1	775
ADK	1781
PTCHD3	3194
ZDHHC1	1737
ATF7IP2	2778
TBC1D25	2648
ABHD2	6875
CIZ1	3469
DAGLB	3214
METRNL	1401
RPL39L	805
GPATCH2	4702
SVS1	2778
IL18	702
SRRM2	8596
ARID4B	5864
PPP1R10	4244
RPL22L1	489
D1PAS1	3212
TBCD	4832
SUV39H1	3116
STX11	2396
TBCE	1855
SEC24D	3856
ISG20	1087
ZFP750	3232
TGFB2	4725
B3GALNT2	3681
E130309D02RIK	4278
LYPLAL1	1578
LGI2	1950
FN3KRP	2520
POMT1	3340
VSTM2B	1455
PRRC2B	10685
NPEPL1	2467
GIMAP3	906
2300002M23RIK	1446
MEGF9	7924
FOXK2	5029
PCSK1N	2193
AZI2	3396
FNDC3B	6875
BC017643	2417
SPDYB	1819
CDK5RAP2	11847
TNFSF10	4993
HEXDC	3921
NDST2	3305
AF529169	4241
CLNK	1700
RFTN1	4029
RAB3GAP2	6985
UTS2R	1703
IGFBP2	1307
RNF122	3998
TEX19.1	1745
TSGA10IP	487
SPATA16	2022
TEX19.2	2046
2010001E11RIK	2285
ANKAR	4573
METTL22	1825
ATP6V0E2	1832
C130074G19RIK	3035
SMARCAL1	4003
EXOSC2	1687
FUT11	3344
DRD5	2802
PICALM	4174
SECTM1B	2287
SEC24C	4446
42067	4553
WDR17	4720
SYNPO2L	4394
HLX	2278
WDR45	1600
DUSP10	2792
CDH6	2632
CCDC81	2788
MREG	2493
NEIL3	3085
PRSS23	3226
PRDM16	8602
HEATR5B	6437
CNTNAP2	6983
ALG1	1755
TMEM135	3691
MTMR7	2799
TTC36	764
PRPF18	3522
DCXR	914
SNX22	2555
MORC3	4178
PPL	6277
MTMR12	4584
TCTA	1628
COL10A1	3130
SLC9A8	4852
ZDHHC2	3381
UBN1	6455
WFS1	3564
PRRX2	1431
TNRC18	6490
EFHA2	2488
NT5DC1	2743
NRTN	1023
ASB6	4147
TSPYL4	3888
CNTN5	4192
CCDC27	2089
CDNF	3013
DSE	4224
ZNFX1	7218
FAM26D	3714
NUP133	5808
UHRF1BP1	8584
PPP2R4	3738
CDSN	2678
CYP7B1	2166
FOXP3	3832
BC046331	5151
ATP8B1	6440
TUSC3	1511
ZUFSP	2364
MMD2	3310
STAU1	3573
SGCZ	3027
4921524L21RIK	1480
NCAM1	3629
TTC18	3632
4930524L23RIK	3455
AJAP1	3067
RSPH4A	3650
CYLC2	1297
PPP1R3F	5727
2210406O10RIK	1743
FAM100A	4749
NPHP4	5027
FAM190A	5657
GRIN3A	7491
MYO9A	12252
FAM149B	2428
RCAN2	3363
RBMS3	7908
OLFR303	1040
TMEM246	2989
STUB1	1672
MOCOS	2884
GM7488	1081
6430573F11RIK	3570
PREX1	6533
C330006K01RIK	3817
HS3ST6	1219
FAM40B	5370
HNRNPU	3878
CCDC151	2200
LONRF1	3930
ZFP189	2965
CORO7	4296
KCNE1	3155
MRPL12	1316
VASN	2829
CCBL1	2057
CPEB3	5899
BAAT	1941
RXRB	2623
D2WSU81E	2424
DUSP26	1938
ICMT	4950
OXLD1	813
ZMYND8	6188
KCNE2	1690
CAPSL	946
TBC1D13	3595
MRPS6	1189
LAP3	2250
SDK1	10352
GM5422	2906
ZER1	4189
TSPAN10	1680
5730528L13RIK	1597
NCOA7	5105
BATF2	1584
USP53	4014
NPLOC4	4121
LMBRD2	3863
LDB2	2485
SLC7A12	1741
PLEKHG5	4113
CPLX3	2832
WDR34	1814
DOCK3	9054
RALYL	2019
GOT1L1	1355
2810408M09RIK	1880
SLC6A5	7065
FNBP1L	5156
PRKRIP1	3893
SLX4	5706
ALG2	3021
BAHCC1	10726
FAM71F1	1584
HTATIP2	1465
ORAI2	3846
EXO1	5506
FBXL5	4236
ALKBH4	1773
DNTTIP2	2401
THAP3	1124
IL22RA2	2498
DNAJC28	3535
CC2D2A	5451
DNAJC11	5607
YPEL5	2869
POLR2J	900
GALNT12	2288
DEFB3	275
AZI1	3581
CPEB2	6823
KMO	3672
DEFB5	207
CERCAM	2715
ZFP597	5668
ZFAND1	4685
2600006K01RIK	871
2410089E03RIK	10469
NCOA5	3179
GABBR2	5737
ZC3H10	3721
TBC1D2	4315
XKR5	3911
MYL6B	1026
TRUB2	3930
WDR70	2151
OLIG2	2437
ARHGAP29	5711
ZFP335	4587
NHSL1	7321
SLC45A1	3387
EPG5	9672
ZFP800	4307
MCPH1	4662
RAPGEF1	6402
PCIF1	5772
ENDOV	5126
4932438H23RIK	2684
RERE	7728
TRIM14	2653
SRRM3	3932
SLC44A3	2559
NEURL2	1014
SLC39A5	2025
HECA	3667
LRRC17	2186
TMEM120A	1382
ALG14	910
TXLNB	4422
FGL2	3788
9130011E15RIK	2896
4931408A02RIK	2076
GPR37	3870
SLC26A11	2752
CITED2	1968
SPSB1	3092
PAK7	4848
COQ10A	2502
RHBDD2	4363
URB1	7344
PION	3745
PIK3CD	4921
PTGER4	3771
PLCB4	5217
WFDC3	1619
DAG1	4415
CLSTN1	4459
STK32A	3765
MRAP	1086
METTL20	1576
HIP1	7850
RHOU	3371
OLFR906	936
CCDC40	4979
ZFP292	9986
RSBN1L	5550
TBC1D16	6986
CCDC67	3019
ZC3H12D	4093
DTX4	5765
CCDC32	1870
FAM60A	2737
PHTF2	4840
ANKRD13C	2650
CBX4	5179
2700050L05RIK	5424
TIMELESS	4573
IFI203	3754
MAGI2	6536
GINM1	1557
BAHD1	4594
GNAZ	3519
SLC7A5	3513
FKBP6	1394
PTGER3	2097
SAA4	2015
COX15	4798
LATS1	7212
RAB11FIP2	5363
YTHDF2	4129
SAA3	531
ELAVL1	6030
IPO8	6056
STAT2	4397
NUP43	1735
DISP2	6626
NEGR1	4983
IFT88	4226
RBMS2	5390
ORC3	3089
TPH1	2042
NDUFB10	834
BAZ2A	8372
GJB6	2105
PLCB2	5145
PFPL	3918
GM9769	1504
BUB1B	3668
TNNI3K	3031
BMF	4642
FLYWCH1	2791
KLHDC5	6267
PPAPDC2	2879
GRAMD1B	7334
MRPS35	4607
METTL11B	1789
CACNA2D1	7472
REP15	982
ZMYM5	5351
GORAB	2509
GPR26	11571
SDR9C7	2868
PNRC1	1648
SVS2	1695
GPR176	3899
RDH7	1678
ABCC8	4952
NDP	1939
9430038I01RIK	4805
TDRD6	7062
RGL3	2550
MAOB	2411
HMX3	1457
HS2ST1	4780
THBS1	5848
WFDC5	2322
TAX1BP3	2644
1700034J05RIK	3007
KCNS1	2712
CD209C	1550
IKZF5	4430
FMO2	4066
ALKBH3	1395
2310057M21RIK	2214
FMO1	2326
ANKRD6	4683
ARNTL2	2923
SCAMP2	2341
CCDC114	2928
TMEM194	6002
CD209E	1802
2810417H13RIK	2530
CUZD1	2255
ZFP704	13843
EMP3	787
CCBL2	2246
GM6369	429
TTC12	3628
GAS8	1679
PRRC2C	8766
GPR34	2088
SYNGR4	967
TM7SF3	3241
TRAPPC5	2546
FGFR1OP2	2880
TBC1D10C	1758
LRP1	14888
SPATA30	3059
GBP7	5548
SEMA3D	6521
NXPH4	1675
DAAM2	6045
KLHDC4	2834
GBP5	3021
DNM3	7523
PLEKHA1	3777
MRPS28	783
BACH2	8882
ACCS	4170
CDK6	3735
PACSIN1	4190
NDUFA4L2	960
BC052040	2770
BTNL9	5273
GZMG	909
STAC3	1790
HEY1	2203
DDX58	3874
SUCO	6308
BTBD16	3432
RBM48	2368
ALX4	7056
CCHCR1	3054
CTSG	1002
ZFP770	4300
SLC25A24	3431
GM15429	2030
VPRBP	7820
CUL9	7818
OLFR56	1935
IL7	2475
NSMCE4A	1438
FAM102B	5702
1700019B03RIK	1613
ARHGAP9	1811
TRIM7	3876
ANKIB1	6610
MARS	3065
SKIV2L	4520
UFL1	5189
BCOR	6941
SEC1	2467
TRIM41	3432
LRRD1	2951
LYRM5	2436
GPR63	2370
CACNG5	3705
PEX2	2115
CBLN3	4723
AQR	4888
PPP1CA	1379
KLHL32	7143
WDR47	4222
MAP3K10	3682
ABHD13	5191
C630050I24RIK	783
HAVCR1	2030
AKAP9	12022
FBXL4	3641
5330417C22RIK	5801
TIMD2	2926
SLC25A28	1514
DTX3	1994
CDH18	2744
RC3H1	11006
HIPK4	2926
PLEKHA4	2660
MTERF	2413
PITPNC1	6329
LTB4R2	1439
ZBTB38	7413
GYLTL1B	5029
PPP1R15A	2809
SLC26A10	2215
RPRD1A	4297
SPNS2	3241
SGMS1	4036
CDH12	5639
USP45	6003
1700054O13RIK	554
ARGLU1	1711
OS9	4049
MYBBP1A	4448
GTPBP10	2972
BLVRB	1028
4921522P10RIK	2101
GGT6	1818
RABGGTA	2547
A330021E22RIK	4956
PRDM13	3245
DGKZ	4169
BPTF	12036
DOM3Z	1519
XAF1	2597
LRRC52	1137
LTBP4	5386
SOX30	2997
LRFN2	3202
CHRM4	2768
IGSF23	1895
42072	3037
ABCG5	2351
AMBRA1	5203
PVR	2905
4921511H03RIK	2881
MANEA	4867
TSFM	1271
TLR8	3431
ZFP609	7777
CBLC	1662
GM885	1320
ABHD11	1493
MATN1	2001
NECAB1	4922
ADAM22	9245
GM9770	810
TMEM225	993
PITPNM3	6555
TEX2	4934
CKAP5	6665
OTUD6B	3266
C3AR1	4305
AIPL1	2403
WBSCR27	2808
WDR7	7109
GSTM2	1064
BC018242	2622
APOC1	487
BTAF1	7204
SLC26A7	5165
RUNDC3B	3677
WBSCR28	932
CYP2B13	1876
ABCB1A	4997
OFD1	4453
1110051M20RIK	2896
CD79B	1431
RANBP17	5001
POGK	7368
MIS12	3003
EPS8L3	2269
NLRP4A	4259
BACE2	3736
KAZN	5725
TLX3	1532
ILDR2	8251
APOBEC1	2265
NLRP9C	3216
TMEM51	1875
PCK2	3400
DHX33	5184
GEMIN8	1928
PLEKHG1	7369
AICDA	2405
MAEL	1546
DOK4	2604
NRL	2422
ERC2	6083
PPIP5K2	6239
RIMKLB	4533
CYP2B23	2189
D14ABB1E	7574
OAZ2	1843
PPP1R14C	2524
1700063H04RIK	817
BC048355	1106
EFHD2	2381
CYP2B9	1876
RAD54L2	9324
CLCF1	3550
SH3BGR	1321
NUP88	3000
PHC1	4213
MTHFD1L	3687
KREMEN2	2116
HMGN1	2174
MADD	5990
TBL3	5226
COL16A1	5206
SLCO4C1	2394
APOBEC2	1218
DNAJC16	5969
LIMD2	2950
AP1G2	3028
CYP2S1	3161
A930016O22RIK	1214
AGMAT	1407
ST8SIA4	5411
SH3PXD2B	7413
CAMTA2	4632
CREG1	2317
KLC3	1901
RSC1A1	3539
IL17RD	8220
1110037F02RIK	6571
ZFHX2	10397
SCAMP5	3190
RCSD1	2670
KCNA2	3456
HNRNPUL1	3424
HESX1	1141
ESRP1	3864
AK129341	3647
EIF4H	2425
ERG	3249
PPP1R13L	3130
INTS8	3433
SLC25A34	2670
RNF167	2250
CD53	2802
SIAH1B	1783
LAT2	1505
MYH6	6079
CMTM5	869
APPL1	7642
SPEN	12299
SNRNP25	821
IL25	1064
AI314976	1324
CEPT1	2814
GM9772	408
RFWD2	5056
TTC3	7417
C1QTNF4	1290
IQCC	2639
IQSEC3	8093
S100G	480
CHI3L3	1539
EML2	2765
AGBL2	4507
TEX264	2134
FAM116A	5710
HLCS	5060
1700123O20RIK	1889
SNRPD2	613
TMEM146	2565
ZMYND15	3696
GPR161	3045
GM11639	3613
4930579G18RIK	968
SIX5	3007
SZRD1	3244
TIPRL	1744
SFT2D2	5526
PSME4	6491
PLEKHH2	6886
REPS2	7675
DLK1	4653
ERF	3505
BSDC1	3025
CROCC	6582
INO80D	13675
RSPH6A	2354
BEGAIN	2707
OSBPL10	1872
WDR25	4229
TMEM205	862
GFER	1775
FOXA3	2037
KCND3	7169
CCR6	1755
KCNK18	3032
RNASEK	1688
ATP1A3	3895
FBXW4	2068
SLC19A2	3571
4930505A04RIK	990
S100PBP	4426
RFX3	9146
PADI6	2333
ULK4	4629
SLC16A11	1938
ARHGEF1	4243
TET2	9179
RCC2	3999
MGL2	1635
RPS19	2657
CABLES1	3391
ASGR2	1373
ARHGEF10L	4531
SLC22A2	2115
ARHGEF38	6541
IGSF21	1979
GM11992	2400
SUN3	1205
MILL2	1121
SH3KBP1	7317
ABHD4	2661
NPNT	4619
TRIM62	3752
IQCF4	725
CMTM8	1064
NRG3	4011
MTAP7D2	3670
IFFO2	5716
GHITM	2953
DPCD	1345
IRGQ	6123
FAM117B	5532
LRIT1	4325
RAMP3	1333
SLC7A13	2141
WDR43	3450
WWP1	6440
MSLNL	2628
PIF1	3897
4930596D02RIK	1162
NACAD	4892
FZD7	4801
GRID1	6003
RWDD2B	2009
OSTC	1058
TSPYL2	2804
ELMO1	5576
IQSEC2	6017
CCDC8	4809
PDE9A	2065
NBL1	1793
8430410K20RIK	2731
H2AFV	1633
ZFP598	3286
N4BP2L1	1906
SMC1A	4691
CYYR1	5464
RIPK2	2804
NME8	2122
PNMAL1	1686
TMCO4	3318
DNAHC7B	12318
BRCA2	10724
OSGIN2	3432
OTUD3	1668
ZMIZ2	4319
SPEM1	1041
LONP1	2963
HECTD2	4731
PRKD2	3625
CHRNB1	2155
PLA2G5	2289
RPUSD1	1703
PLA2G2D	2167
2310036O22RIK	891
MAP6D1	3273
YEATS2	6116
CLVS1	3713
ARHGAP11A	4958
ELOVL6	5951
ARHGAP12	4959
PHF8	6359
UBLCP1	2088
CHD7	10216
VPS41	3195
PKLR	2902
RBBP8	3618
MUL1	3944
WNK3	8551
LAMP3	3343
KCNJ1	3070
TMCO5B	1237
ZFP236	9473
CAR8	3848
RUSC1	3779
USPL1	5216
DMXL2	10614
TOX	3961
TTC1	1965
SOX15	861
GPR110	3853
CDK13	7081
KATNAL1	3994
CFTR	6410
GTF3C3	3005
SNTB2	4423
NKX6-2	1906
SLC7A1	7179
THOC6	1673
AK7	3093
INHBA	1957
PCF11	5825
ATP1B2	3751
MUP4	922
ATG2B	10173
ANKRD42	3542
WRAP53	1891
BDKRB1	1338
RAP1GAP	4140
TMEM29	3673
RGL2	3252
SSR2	1167
BC125332	3731
TCL1	1398
D19BWG1357E	3462
MYZAP	5503
4930506M07RIK	4081
B4GALNT3	3677
CCDC9	2773
NINJ2	853
CLDN5	1414
HTR2C	4883
MDFIC	3635
METTL18	1513
1700013G24RIK	1048
BC055324	3217
WAPAL	6351
DICER1	9851
PIK3R1	6915
MEIS3	1925
PAQR6	1670
HIBCH	1830
NTHL1	1080
CCNB1	2489
CIRH1A	2248
MFSD6	4932
GK5	4474
ARHGAP32	13568
MMRN2	3935
SERPINA3H	1422
RPL21	1856
TARDBP	7477
CACNA2D4	5803
GPR12	2468
FAM35A	3446
SMPX	1152
DCP1B	4209
SYT15	3624
SERPINA3G	1803
FAM38B	10723
ZFP281	4937
STX3	3269
CEP78	2548
KIF14	8770
GM3402	981
RRP9	1611
4930569F06RIK	433
IRF8	3469
UPK2	873
RNF123	4727
EIF2C1	7227
RBP3	5276
SERPINA3A	1269
H2-OB	2671
SOX5	7243
PTCHD2	5282
HSPB8	1816
SERPINA5	2162
PTCHD1	2768
FBXO2	1288
FMOD	3120
GLTSCR2	1555
L3MBTL4	2445
TSSK1	1449
SERPINA12	3690
CAMSAP2	7823
SEPW1	736
PRELP	3615
CRX	2919
OBOX6	1339
SDK2	11287
TMTC4	3416
VMN1R90	3105
CDC42EP4	3405
5730559C18RIK	3013
MBP	4797
ENTPD3	3444
CCDC64	3026
NPPA	865
CCDC74A	1278
MMP1B	1449
D11WSU47E	2196
GUCY1A2	5273
A2LD1	1076
D11WSU99E	2619
MRPS27	1848
KCTD12B	4851
GCN1L1	8557
KIF21B	9254
SLC5A12	3529
DDX24	3070
KLF8	4752
PCCA	2592
PNPLA3	4640
SLC39A11	2781
RRAGB	2258
BBOX1	4030
PRIMA1	1076
RIMS1	6446
PYROXD1	3011
LRRC18	2588
BC006965	1952
LRRC29	1922
IAPP	839
BIVM	3570
FCHO2	5121
AMOT	6957
KCNJ2	5444
RASL12	2430
COX6A1	620
SLCO1A1	3904
LHFPL1	1830
BTBD7	4298
ZIC5	4767
1810011H11RIK	1473
MPPED1	3281
TRPC5	4158
UBR7	3247
AK010878	2795
GOLT1A	1842
ALG13	4163
PI4KA	6630
KHDC1C	1946
CORO2B	3610
PRRXL1	1550
PGM5	3239
COQ5	2037
KIRREL	7278
GM13178	1227
TSPO	854
TMEM45B	1572
RNF10	3476
PDE3A	4205
UTP15	4071
CCRL1	2698
CD1D2	1243
TREM3	994
PLEKHA6	7397
GPR155	5061
TPP2	4682
UBAC2	2153
PPP2R2D	3823
SLC24A4	4465
ENC1	4742
YDJC	3097
MAPK1IP1	1883
CIR1	2821
TRAM2	6495
CPSF2	5315
LAD1	2992
2700046A07RIK	2060
CAPZA3	1265
MYRIP	4906
ABCA9	6384
GCK	2727
PHLDA3	1435
PRAMEL1	2794
EFHC1	2143
POLDIP3	3297
FAM169A	4553
OASL1	2181
ABCA8A	5619
SYTL3	2244
PTPRE	5411
PDCD7	2454
HAUS1	1004
RPL37	867
FHDC1	4162
RHOD	1495
SMEK1	4594
CARD6	5995
TCF20	7347
OOSP1	972
MCM3	2991
ANKRD13A	3717
IL17F	1173
8430432A02RIK	1248
IPO9	6247
NDUFA7	640
OLFR680-PS1	930
MACC1	3818
SHISA4	1763
GIT2	5032
LMAN1	3563
WIPI1	3338
GPR45	3860
DLX1	4111
TDRKH	3634
AMMECR1L	4769
SLC16A6	4219
METAP1D	2770
NOL4	4549
RNPEP	2288
BC057022	2930
AW549877	5083
AGRN	8612
MVK	2380
MFSD9	3311
TMCO7	4409
TNFRSF18	1189
PKP2	2931
PIGS	2501
S100A10	685
ZNRF3	6311
DCAF17	7739
2310008H04RIK	3279
METTL8	2473
ARHGEF11	6776
RPTN	4146
ELMOD1	2605
HRNR	11187
RAPGEF5	3987
ZBED3	1894
TLK1	4280
FOXN4	3016
ACACB	8788
WDR41	3063
NCAPG2	6604
LCE3B	563
MAT2B	2461
IGSF3	7330
2010003K11RIK	1165
CSGALNACT2	5252
TBCA	503
SLN	515
DSTYK	6385
WDR60	3725
WDR11	5418
ZFP386	2063
MYO3B	6256
TMCC2	4004
ABHD14B	1472
SVOP	3379
HNRNPF	2531
ARSB	3989
4933440N22RIK	651
LCE1C	724
DAO	1824
ZFP239	3158
KANK3	2652
DMGDH	2990
UGGT2	6456
INPP5F	4734
6230427J02RIK	1021
CSDC2	3565
CCDC115	1704
KLHDC8A	4269
VWA1	3623
BHMT2	2467
SSH1	8436
LCE1F	728
RASSF4	6344
PPIG	6245
BC024479	2289
COX10	2915
KLHL23	4617
DZIP1	4476
SPRR2I	617
GM9774	1064
PAPD4	1873
ARMC5	3834
PNLIPRP1	1619
BEND6	2487
1700069L16RIK	706
NFRKB	5398
TEKT3	1748
CMKLR1	2882
SLC35F2	2568
ZFP451	11875
CHCHD7	2546
CDRT4	723
SLC35E2	6291
TBC1D22B	3592
KDM5B	6306
0610010F05RIK	4392
ABHD14A	1380
FBXO38	4388
SPRR2D	681
ZFAND4	3220
BAG2	1859
SGSM1	5161
OLFR631	1496
AMMECR1	5437
LYN	3463
RABIF	1957
2010015L04RIK	2949
CRYBB2	906
BC051665	1342
PGLYRP3	1107
TMC7	4544
CYP2C37	1824
ADRBK2	6537
PGLYRP4	2229
PM20D1	3554
CILP	4153
3110082D06RIK	6890
ISL1	2515
CCR8	1156
TREM1	2993
SLC26A9	4739
FAM92B	1187
NXT2	2538
SESTD1	8990
PELO	1600
H1FOO	1192
GUCY2F	8122
ITGA1	5984
STAB1	7999
HSD3B7	5188
MKL1	4392
GM5617	620
TTC19	3410
EHBP1	5046
SGSM3	2996
TMEM183A	3169
S100A14	1097
SETD1A	6487
S100A13	715
PROX2	3636
PBRM1	7907
HPS4	3345
SPECC1	6843
TNFRSF14	1018
CTF1	1345
UBASH3A	2945
ARL15	3364
IKBKE	5856
1110018G07RIK	5446
GRAP2	3158
FREM3	6384
GNL3	1883
GJB5	1721
OSBPL6	8257
4930433N12RIK	1204
LGALSL	3362
SNX18	4446
GJB3	1880
RBM45	1898
SLC5A10	2261
DMRT3	2390
FAM83G	4778
ESM1	2097
BC003266	1022
GZMK	1304
TEX13	2116
DLGAP3	4207
TSEN2	4563
GATAD2B	1906
RBM7	1798
CRTAC1	2616
OLFR607	915
DENND4B	5647
ATF4	1724
ZMYM6	4210
AGPS	7359
PRDM14	2564
CCNO	1876
NFKBIL1	1447
FBRS	2650
FRMPD3	3141
DHX29	4405
MGAT3	4665
ADORA1	5781
E230019M04RIK	1509
MFAP4	1770
ZFP532	5494
FAM63B	8081
ZMYM4	7102
MIOS	3710
HOXD1	1863
MYBPH	1828
RELN	11699
BPIFA2	978
C1GALT1	2452
DCTPP1	676
HOXD4	2560
ZFP410	2697
TBC1D8B	5094
FAIM3	1599
ABCB4	4074
TFAP2E	2085
MUSTN1	1177
LEO1	2192
CLSPN	5027
TBC1D10B	3608
PRDM10	3408
D330045A20RIK	3737
HOXD11	4257
EIF2C4	6537
CPA6	4752
CD2BP2	3284
ACN9	4323
USP22	4434
C130039O16RIK	7156
DMTF1	3748
AA986860	2908
KLHL14	4423
MUM1L1	4600
UBAP2L	4073
DNALC1	5727
SUN2	4052
4933428M09RIK	1026
KCNJ12	2463
GOLGA7B	2836
GTPBP1	3398
ACOT5	1518
SHFM1	1472
ASXL1	6968
GM16516	1291
ZP3R	2042
SIN3A	5206
ADPRHL2	1826
4933432B09RIK	5187
NEK10	3386
DHRS7B	3277
MIER2	2676
UBE2Q1	3081
4632404H12RIK	2791
THSD7B	6213
CUX2	7187
IPO11	4282
SH2B3	4313
FAM199X	8299
TFAP2D	1761
JHDM1D	9566
KCNA4	4792
ATXN2	4471
HIRIP3	2766
ASB4	3286
STK40	3860
PBXIP1	4479
OSCP1	5013
MAFF	1933
SAFB2	3277
SHC1	3250
ZFYVE1	3869
XKR7	2711
PLA2G6	3365
GUCY2C	3958
RGSL1	3641
FLAD1	3007
ITPR3	8990
ACAD12	2372
ALKBH5	5730
FAM159B	1310
ARRDC4	3855
WDR55	1498
DUSP15	3237
IMMP1L	955
RGS8	5818
DCST1	2342
YPEL3	1594
ZC3H12A	2755
MYO15	11769
FAM59A	4923
SELK	1090
NPL	1403
JPH1	4809
MAPK6	4089
OBFC1	1878
DHX9	4616
SIPA1L1	7697
COMMD10	1561
DNALI1	2133
SHCBP1L	2375
ATPAF2	1813
WBP5	1019
PPP1R3A	7120
NAA25	5447
MAP3K9	10619
TRAFD1	3083
WDR74	1203
TTC9	2042
DPM3	827
B630005N14RIK	4139
SGTB	3048
GM15800	15482
ID1	1160
KRTCAP2	988
BEX2	903
NMNAT2	4522
TMEM108	3692
APOBR	3685
MRAP2	2112
MANEAL	2727
TRIM46	3252
HEBP1	1061
SMG7	5802
OLFR1353	1266
MUC1	2242
EXOG	3852
FAM166B	1349
RNF214	3782
LGR6	3628
OLFR1032	933
AQP11	1322
1700015E13RIK	771
OLFR769	1084
GPR153	3838
HECW2	11171
GPX2	1067
KRBA1	8377
FOXF1	2415
MCTS2	793
GPR151	1633
FLT3	5241
SNAI1	1621
FGF11	3039
TRIM72	2472
ALKBH6	1181
D0H4S114	2223
