NAME	CHR	GC-CONTENT	TYPE
COL11A2P	HSCHR6_MHC_QBL	49.53	pseudogene
COL11A2P	HSCHR6_MHC_COX	49.38	pseudogene
COL11A2P	HSCHR6_MHC_SSTO	49.48	pseudogene
COL11A2P	HSCHR6_MHC_DBB	58.82	pseudogene
COL11A2P	HSCHR6_MHC_MANN	49.53	pseudogene
COL11A2P	HSCHR6_MHC_APD	49.48	pseudogene
COL12A1	6	36.87	protein_coding
COL13A1	10	51.91	protein_coding
COL14A1	8	38.78	protein_coding
COL15A1	9	46.99	protein_coding
COL16A1	1	56	protein_coding
COL17A1	10	48.31	protein_coding
COL18A1	21	59.66	protein_coding
COL18A1-AS1	21	60.69	lincRNA
COL19A1	6	36.57	protein_coding
COL1A1	17	58.46	protein_coding
COL1A1	LRG_1		LRG_gene
COL1A2	7	37.57	protein_coding
COL1A2	LRG_2		LRG_gene
COL20A1	20	59.5	protein_coding
COL21A1	6	36.73	protein_coding
COL22A1	8	46.51	protein_coding
COL23A1	5	50.62	protein_coding
COL24A1	1	36.41	protein_coding
COL25A1	4	36.92	protein_coding
COL27A1	9	52.26	protein_coding
COL28A1	7	38.55	protein_coding
COL2A1	12	55.34	protein_coding
COL3A1	2	33.8	protein_coding
COL3A1	LRG_3		LRG_gene
COL4A1	13	44.9	protein_coding
COL4A2	13	47.83	protein_coding
COL4A3	2	39.87	protein_coding
COL4A3	LRG_230		LRG_gene
COL4A3BP	5	37.13	protein_coding
COL4A4	2	40.93	protein_coding
COL4A4	LRG_231		LRG_gene
COL4A5	X	35.75	protein_coding
COL4A6	X	40.29	protein_coding
COL5A1	9	56	protein_coding
COL5A2	2	34.62	protein_coding
COL5A3	19	52.34	protein_coding
COL6A1	21	64.67	protein_coding
COL6A2	21	55.88	protein_coding
COL6A3	2	44.57	protein_coding
COL6A4P1	3	41.09	pseudogene
COL6A4P2	3	39.24	pseudogene
COL6A5	3	38.71	protein_coding
COL6A6	3	39.26	protein_coding
COL7A1	3	60.13	protein_coding
COL8A1	3	38.48	protein_coding
COL8A2	1	55.63	protein_coding
COL9A1	6	37.98	protein_coding
COL9A2	1	57.43	protein_coding
COL9A3	20	61.84	protein_coding
COLEC10	8	37.13	protein_coding
COLEC11	2	51.17	protein_coding
COLEC12	18	43.07	protein_coding
COLQ	3	46.58	protein_coding
COMMD1	2	41.05	protein_coding
COMMD10	5	37.46	protein_coding
COMMD2	3	37.91	protein_coding
COMMD3	10	41.08	protein_coding
COMMD4	15	55.18	protein_coding
COMMD5	8	53.13	protein_coding
COMMD6	13	39.99	protein_coding
COMMD7	20	48.21	protein_coding
COMMD8	4	36.42	protein_coding
COMMD9	11	40.91	protein_coding
COMP	19	62.86	protein_coding
COMT	22	53.41	protein_coding
COMTD1	10	70.61	protein_coding
COPA	1	40.67	protein_coding
COPB1	11	38.27	protein_coding
COPB2	3	37.63	protein_coding
COPE	19	57.06	protein_coding
COPG1	3	48.19	protein_coding
COPG2	7	39.94	protein_coding
COPG2	HG1308_PATCH	39.45	protein_coding
COPS2	15	35.44	protein_coding
COPS3	17	44.8	protein_coding
COPS4	4	40.06	protein_coding
COPS5	8	39.82	protein_coding
COPS5P	6	41.66	pseudogene
COPS6	7	52.76	protein_coding
COPS7A	12	50.55	protein_coding
COPS7B	2	44.88	protein_coding
COPS8	2	39.13	protein_coding
COPZ1	12	46.59	protein_coding
COPZ2	17	52.7	protein_coding
COQ10A	12	50.99	protein_coding
COQ10B	2	41.73	protein_coding
COQ2	4	39.35	protein_coding
COQ3	6	39.36	protein_coding
COQ4	9	51.72	protein_coding
COQ5	12	45.87	protein_coding
COQ6	14	45.54	protein_coding
COQ7	16	46.2	protein_coding
COQ9	16	45.83	protein_coding
CORIN	4	38.52	protein_coding
CORO1A	16	64.42	protein_coding
CORO1A	LRG_195		LRG_gene
CORO1B	11	64.76	protein_coding
CORO1C	12	41.35	protein_coding
CORO2A	9	49.15	protein_coding
CORO2B	15	49.34	protein_coding
CORO6	17	60.29	protein_coding
CORO7	16	57.56	protein_coding
CORO7-PAM16	16	57.43	protein_coding
CORT	1	47.16	protein_coding
COTL1	16	50.24	protein_coding
COTL1P1	17	52	pseudogene
COTL1P2	17	52.84	pseudogene
COX10	17	38.47	protein_coding
COX11	17	41.57	protein_coding
COX11P1	6	50.3	pseudogene
COX14	12	44.51	protein_coding
COX15	10	42.44	protein_coding
COX16	14	39.36	protein_coding
COX17	3	41.28	protein_coding
COX17P1	13	44.39	pseudogene
COX18	4	41.16	protein_coding
COX19	7	58.98	protein_coding
COX20	1	39.53	protein_coding
COX20P2	2	42.46	pseudogene
COX4I1	16	50.84	protein_coding
COX4I1P1	14	54.22	pseudogene
COX4I1P2	13	48.99	pseudogene
COX4I2	20	52.35	protein_coding
COX5A	15	44.93	protein_coding
COX5AP2	14	50	pseudogene
COX5B	2	50.3	protein_coding
COX5BP1	4	54.2	pseudogene
COX5BP2	6	39.82	pseudogene
COX5BP3	7	54.22	pseudogene
COX5BP6	13	52.25	pseudogene
COX5BP7	22	53.28	pseudogene
COX5BP8	1	51.86	pseudogene
COX6A1	12	48.25	protein_coding
COX6A1P2	6	52.01	protein_coding
COX6A1P3	6	53.24	pseudogene
COX6A2	16	64.3	protein_coding
COX6B1	19	49.06	protein_coding
COX6B1P1	7	54.46	pseudogene
COX6B1P2	17	51.3	pseudogene
COX6B1P3	22	48.03	pseudogene
COX6B1P6	8	49.02	pseudogene
COX6B1P7	1	49.36	pseudogene
COX6B2	19	59.97	protein_coding
COX6C	8	40.79	protein_coding
COX6CP1	16	45.58	pseudogene
COX6CP2	20	40.89	pseudogene
COX6CP3	18	42.6	pseudogene
COX6CP5	11	36.4	pseudogene
COX7A1	19	63.14	protein_coding
COX7A2	6	40.34	protein_coding
COX7A2L	2	44.54	protein_coding
COX7A2P1	14	45.71	pseudogene
COX7A2P2	4	44.8	pseudogene
COX7B	X	40.81	protein_coding
COX7B	HG1426_PATCH	40.81	protein_coding
COX7B2	4	36.84	protein_coding
COX7BP1	22	45.08	pseudogene
COX7BP2	20	40.91	pseudogene
COX7C	5	42.27	protein_coding
COX7CP1	13	45.83	pseudogene
COX8A	11	57	protein_coding
COX8C	14	53.6	protein_coding
CP	3	37.35	protein_coding
CPA1	7	56.16	protein_coding
CPA1	HG1308_PATCH	56.16	protein_coding
CPA2	7	44.63	protein_coding
CPA3	3	37.02	protein_coding
CPA4	7	46.73	protein_coding
CPA5	7	50.58	protein_coding
CPA5	HG1308_PATCH	50.58	protein_coding
CPA6	8	40.07	protein_coding
CPAMD8	19	50.2	protein_coding
CPB1	3	37.66	protein_coding
CPB2	13	39	protein_coding
CPD	17	38.53	protein_coding
CPE	4	38.23	protein_coding
CPEB1	15	42.56	protein_coding
CPEB2	4	34.97	protein_coding
CPEB3	10	40.88	protein_coding
CPEB4	5	37.31	protein_coding
CPED1	7	36.6	protein_coding
CPHL1P	3	38.86	pseudogene
CPLX1	4	55.28	protein_coding
CPLX2	5	50.92	protein_coding
CPLX3	15	53.41	protein_coding
CPLX4	18	41.55	protein_coding
CPM	12	41.46	protein_coding
CPN1	10	43.88	protein_coding
CPN2	3	52.73	protein_coding
CPNE1	20	43.12	protein_coding
CPNE2	16	54.15	protein_coding
CPNE3	8	38.39	protein_coding
CPNE4	3	38.99	protein_coding
CPNE5	6	51.81	protein_coding
CPNE6	14	58.07	protein_coding
CPNE7	16	60.32	protein_coding
CPNE8	12	36.06	protein_coding
CPNE9	3	48.56	protein_coding
CPO	2	38.37	protein_coding
CPOX	3	38.07	protein_coding
CPPED1	16	44.49	protein_coding
CPQ	8	38.13	protein_coding
CPS1	2	36.31	protein_coding
CPS1	LRG_336		LRG_gene
CPSF1	HG243_PATCH	59.95	protein_coding
CPSF1	8	60.12	protein_coding
CPSF1P1	22	58.95	pseudogene
CPSF2	14	39.8	protein_coding
CPSF3	2	42.1	protein_coding
CPSF3L	1	60.46	protein_coding
CPSF4	7	53.24	protein_coding
CPSF4L	17	50.55	protein_coding
CPSF6	12	35.78	protein_coding
CPSF7	11	44.18	protein_coding
CPT1A	11	50.04	protein_coding
CPT1B	22	58.44	protein_coding
CPT1C	19	53.01	protein_coding
CPT2	1	44.68	protein_coding
CPVL	7	41	protein_coding
CPXCR1	X	35.62	protein_coding
CPXM1	20	59.72	protein_coding
CPXM2	10	45.48	protein_coding
CPZ	4	58.27	protein_coding
CR1	1	39.21	protein_coding
CR1L	1	40.5	protein_coding
CR2	1	39.17	protein_coding
CR354443.1	HSCHR6_MHC_MANN	52.33	protein_coding
CR354443.3	HSCHR6_MHC_MANN	50.68	protein_coding
CR381653.1	21	46.8	protein_coding
CR382280.5	HSCHR6_MHC_MANN	43.15	protein_coding
CR382333.1	HSCHR6_MHC_MANN	35.64	protein_coding
CR388372.3	HSCHR6_MHC_DBB	47.81	protein_coding
CR388382.1	HSCHR6_MHC_DBB	44.92	protein_coding
CR388382.2	HSCHR6_MHC_DBB	47.08	protein_coding
CR388407.1	HSCHR6_MHC_DBB	36.57	protein_coding
CR392000.1	9	56.27	protein_coding
CR392000.2	HG998_1_PATCH	56.27	protein_coding
CR547123.1	HSCHR6_MHC_MANN	36.57	protein_coding
CR547129.1	HSCHR6_MHC_MANN	47.35	protein_coding
CR753309.3	HSCHR6_MHC_DBB	66.5	protein_coding
CR753328.2	HSCHR6_MHC_DBB	58.44	miRNA
CR753651.1	HSCHR6_MHC_DBB	25.93	protein_coding
CR753835.3	HSCHR6_MHC_MANN	41.1	protein_coding
CR753835.4	HSCHR6_MHC_MANN	40.32	protein_coding
CR753842.1	HSCHR6_MHC_DBB	52.34	protein_coding
CR753892.1	HSCHR6_MHC_DBB	48.14	protein_coding
CR753892.2	HSCHR6_MHC_DBB	48.17	protein_coding
CR759733.1	HSCHR6_MHC_DBB	42.21	protein_coding
CR759761.1	HSCHR6_MHC_MCF	52.33	protein_coding
CR759778.2	HSCHR6_MHC_MCF	58.44	miRNA
CR759784.1	HSCHR6_MHC_MCF	65.07	protein_coding
CR759784.2	HSCHR6_MHC_MCF	79.13	protein_coding
CR759786.1	HSCHR6_MHC_MCF	45.34	protein_coding
CR759787.1	HSCHR6_MHC_MCF	51.22	protein_coding
CR759795.1	HSCHR6_MHC_MCF	46.55	protein_coding
CR759815.2	HSCHR6_MHC_MCF	49.36	protein_coding
CR759848.1	HSCHR6_MHC_MCF	37.21	protein_coding
CR759904.1	HSCHR6_MHC_APD	46.6	protein_coding
CR759942.1	HSCHR6_MHC_APD	42.78	protein_coding
CR759942.2	HSCHR6_MHC_APD	45.33	protein_coding
CR762434.1	HSCHR6_MHC_DBB	45.25	protein_coding
CR762481.2	HSCHR6_MHC_DBB	43.03	protein_coding
CR769776.1	9	43.84	protein_coding
CR769776.3	9	36.72	pseudogene
CR788282.1	HSCHR6_MHC_APD	47.08	protein_coding
CR788282.2	HSCHR6_MHC_APD	44.92	protein_coding
CR847794.1	HSCHR6_MHC_MANN	49.34	protein_coding
CR847849.1	HSCHR6_MHC_MANN	46.55	protein_coding
CR848007.2	9	36.47	pseudogene
CR848007.5	9	36.98	pseudogene
CR925767.1	HG1322_PATCH	47.03	protein_coding
CR933877.1	HSCHR6_MHC_MANN	65.07	protein_coding
CR933877.2	HSCHR6_MHC_MANN	79.28	protein_coding
CR936875.1	HSCHR6_MHC_MCF	52.37	protein_coding
CR938714.2	HSCHR6_MHC_MCF	48.56	protein_coding
CR942185.1	HSCHR6_MHC_MCF	48.14	protein_coding
CRABP1	15	48.64	protein_coding
CRABP2	1	55.42	protein_coding
CRADD	12	40.55	protein_coding
CRAMP1L	16	53.11	protein_coding
CRAT	9	58.45	protein_coding
CRB1	1	36.51	protein_coding
CRB2	9	59.51	protein_coding
CRB3	19	59.94	protein_coding
CRBN	3	37.38	protein_coding
CRCP	7	45	protein_coding
CRCT1	1	55.4	protein_coding
CREB1	2	37.47	protein_coding
CREB3	9	49.01	protein_coding
CREB3L1	11	52.82	protein_coding
CREB3L2	7	43.66	protein_coding
CREB3L3	19	52.71	protein_coding
CREB3L4	1	52.02	protein_coding
CREB5	7	40.7	protein_coding
CREBBP	16	45.01	protein_coding
CREBL2	12	40.66	protein_coding
CREBRF	5	41.07	protein_coding
CREBZF	11	40.72	protein_coding
CREG1	1	44.46	protein_coding
CREG2	2	45.89	protein_coding
CRELD1	3	51.58	protein_coding
CRELD2	22	59.36	protein_coding
CREM	10	39.22	protein_coding
CRH	8	54.34	protein_coding
CRHBP	5	42.34	protein_coding
CRHR1	HSCHR17_1	49.62	protein_coding
CRHR1	17	49.63	protein_coding
CRHR1-IT1	17	45.62	pseudogene
CRHR2	7	53.27	protein_coding
CRIM1	HSCHR2_1_CTG1	40.24	protein_coding
CRIM1	2	40.24	protein_coding
CRIP1	14	68.07	protein_coding
CRIP1	14	68.51	protein_coding
CRIP2	14	69.59	protein_coding
CRIP3	6	54.89	protein_coding
CRIPAK	4	47.51	protein_coding
CRIPT	2	39.14	protein_coding
CRISP1	6	35.79	protein_coding
CRISP2	6	35.31	protein_coding
CRISP3	6	34.48	protein_coding
CRISPLD1	8	35.22	protein_coding
CRISPLD2	16	50.35	protein_coding
CRK	17	49.13	protein_coding
CRKL	22	45.76	protein_coding
CRLF1	19	55.32	protein_coding
CRLF2	X	47.13	protein_coding
CRLF3	17	42.46	protein_coding
CRLS1	20	39.37	protein_coding
CRMP1	4	48.98	protein_coding
CRNDE	16	36.75	antisense
CRNKL1	20	39.08	protein_coding
CRNN	1	49.09	protein_coding
CROCC	1	53.37	protein_coding
CROCCP1	X	65.69	pseudogene
CROCCP1	HG1443_HG1444_PATCH	65.69	pseudogene
CROCCP3	1	51.27	pseudogene
CROCCP4	1	64.62	pseudogene
CROCCP5	1	61.89	pseudogene
CROT	7	37.43	protein_coding
CRP	1	48.59	protein_coding
CRPP1	1	48.16	pseudogene
CRTAC1	10	48.15	protein_coding
CRTAM	11	40.96	protein_coding
CRTAP	3	43.71	protein_coding
CRTAP	LRG_4		LRG_gene
CRTC1	19	56.04	protein_coding
CRTC2	1	53.2	protein_coding
CRTC3	15	44.02	protein_coding
CRX	19	49.7	protein_coding
CRY1	12	37.62	protein_coding
CRY2	11	49.13	protein_coding
CRYAA	21	63.16	protein_coding
CRYAB	HG388_HG400_PATCH	46.13	protein_coding
CRYAB	11	46.13	protein_coding
CRYBA1	17	45.09	protein_coding
CRYBA2	2	58.09	protein_coding
CRYBA4	22	47.35	protein_coding
CRYBB1	22	48.39	protein_coding
CRYBB2	22	49.13	protein_coding
CRYBB2P1	22	45.32	pseudogene
CRYBB3	22	52.1	protein_coding
CRYBG3	3	37.41	protein_coding
CRYBG3	3	36.83	protein_coding
CRYGA	2	43.39	protein_coding
CRYGB	2	48.05	protein_coding
CRYGC	2	42.33	protein_coding
CRYGD	2	37.37	protein_coding
CRYGEP	2	48.73	pseudogene
CRYGFP	2	48.47	pseudogene
CRYGGP	2	60.69	pseudogene
CRYGN	7	57.73	protein_coding
CRYGS	3	37.09	protein_coding
CRYL1	13	44.52	protein_coding
CRYM	16	43.21	protein_coding
CRYM-AS1	16	41.62	lincRNA
CRYZ	1	39.61	protein_coding
CRYZL1	21	41.59	protein_coding
CRYZP1	7	39.6	pseudogene
CS	12	46.16	protein_coding
CSAD	12	47.92	protein_coding
CSAG1	X	40.42	protein_coding
CSAG1	HG1497_PATCH	40.67	protein_coding
CSAG2	X	40.91	antisense
CSAG2	HG1497_PATCH	49.75	protein_coding
CSAG3	X	40.9	antisense
CSAG3	HG1497_PATCH	40.8	antisense
CSAG4	X	49.43	pseudogene
CSAG4	HG1497_PATCH	49.45	pseudogene
CSDA	12	39.09	protein_coding
CSDAP1	16	59.63	pseudogene
CSDC2	22	55.8	protein_coding
CSDE1	1	38.28	protein_coding
CSE1L	20	41.29	protein_coding
CSF1	1	54.81	protein_coding
CSF1R	5	48.1	protein_coding
CSF2	5	55.53	protein_coding
CSF2RA	X	50.88	protein_coding
CSF2RB	22	51.95	protein_coding
CSF2RBP1	22	59.64	pseudogene
CSF3	17	60.21	protein_coding
CSF3R	1	53.16	protein_coding
CSF3R	LRG_144		LRG_gene
CSGALNACT1	8	41.74	protein_coding
CSGALNACT2	10	38.88	protein_coding
CSH1	17	56.42	protein_coding
CSH2	17	56.7	protein_coding
CSHL1	17	53.01	protein_coding
CSK	15	56.64	protein_coding
CSMD1	8	38.47	protein_coding
CSMD2	1	45.21	protein_coding
CSMD3	8	33.74	protein_coding
CSN1S1	4	31.44	protein_coding
CSN1S2AP	4	32.8	pseudogene
CSN2	4	31.99	protein_coding
CSN3	4	31.38	protein_coding
CSNK1A1	5	39.21	protein_coding
CSNK1A1L	13	44.68	protein_coding
CSNK1A1P1	15	37.72	pseudogene
CSNK1A1P3	5	40.91	pseudogene
CSNK1D	17	55.31	protein_coding
CSNK1E	22	47.81	protein_coding
CSNK1G1	15	40.28	protein_coding
CSNK1G2	19	61.01	protein_coding
CSNK1G2-AS1	19	62.89	antisense
CSNK1G3	5	34.48	protein_coding
CSNK2A1	20	40.89	protein_coding
CSNK2A1P	11	45.43	pseudogene
CSNK2A2	16	41.31	protein_coding
CSNK2B	HSCHR6_MHC_DBB	52.71	protein_coding
CSNK2B	6	52.7	protein_coding
CSNK2B	HSCHR6_MHC_MANN	52.7	protein_coding
CSNK2B	HSCHR6_MHC_SSTO	52.82	protein_coding
CSNK2B	HSCHR6_MHC_MCF	52.85	protein_coding
CSNK2B	HSCHR6_MHC_QBL	52.82	protein_coding
CSNK2B	HSCHR6_MHC_COX	52.86	protein_coding
CSPG4	15	59.29	protein_coding
CSPG4P2Y	Y	57.85	processed_transcript
CSPG4P3Y	Y	56.49	pseudogene
CSPG4P4Y	Y	56.87	pseudogene
CSPG5	3	51.25	protein_coding
CSPP1	8	38.01	protein_coding
CSRNP1	3	55.85	protein_coding
CSRNP2	12	46.65	protein_coding
CSRNP3	2	36.48	protein_coding
CSRP1	1	50.68	protein_coding
CSRP2	12	42.39	protein_coding
CSRP2BP	20	42.4	protein_coding
CSRP3	11	42.88	protein_coding
CST1	20	56.78	protein_coding
CST11	20	48.15	protein_coding
CST12P	20	47.23	pseudogene
CST13P	20	42.52	pseudogene
CST2	20	56.67	protein_coding
CST3	20	53.52	protein_coding
CST4	20	56.45	protein_coding
CST5	20	54.45	protein_coding
CST6	11	63	protein_coding
CST7	20	56.46	protein_coding
CST8	20	45.1	protein_coding
CST9	20	49.87	protein_coding
CST9L	20	50.07	protein_coding
CST9LP1	20	50.5	pseudogene
CSTA	3	41.8	protein_coding
CSTB	21	54.22	protein_coding
CSTF1	20	41.25	protein_coding
CSTF2	X	38.83	protein_coding
CSTF2T	10	43.37	protein_coding
CSTF3	11	37.22	protein_coding
CSTL1	20	48.91	protein_coding
CSTP1	20	54.34	pseudogene
CSTP2	20	43.68	pseudogene
CT009496.1	HG1322_PATCH	58.1	protein_coding
CT45A1	X	39.92	protein_coding
CT45A1	HG1443_HG1444_PATCH	39.61	protein_coding
CT45A2	X	42.72	protein_coding
CT45A3	X	41.88	protein_coding
CT45A3	HG1443_HG1444_PATCH	42.68	protein_coding
CT45A4	X	42.4	protein_coding
CT45A5	X	42.86	protein_coding
CT45A5	HG1443_HG1444_PATCH	42.84	protein_coding
CT45A6	X	42.67	protein_coding
CT47A1	X	48.67	protein_coding
CT47A12	X	46.44	protein_coding
CT47B1	X	49.23	protein_coding
CT62	15	46.54	protein_coding
CTA-125H2.3	22	32.64	pseudogene
CTA-150C2.20	22	55.81	pseudogene
CTA-215D11.4	1	51.52	pseudogene
CTA-221G9.10	22	63.18	pseudogene
CTA-221G9.5	GL000242.1	49.39	protein_coding
CTA-242H14.1	7	53.42	pseudogene
CTA-246H3.11	22	41.79	pseudogene
CTA-246H3.8	22	45.39	pseudogene
CTA-253N17.1	1	42.02	pseudogene
CTA-256D12.12	22	47.34	pseudogene
CTA-268H5.9	22	56.06	pseudogene
CTA-276O3.4	7	50.29	pseudogene
CTA-292E10.7	22	58.37	pseudogene
CTA-313A17.2	7	43.71	pseudogene
CTA-313A17.2	HG115_PATCH	43.78	pseudogene
CTA-313A17.3	7	35.9	pseudogene
CTA-313A17.3	HG115_PATCH	36	pseudogene
CTA-313A17.4	7	49.54	pseudogene
CTA-313A17.4	HG115_PATCH	52.19	pseudogene
CTA-331F8.1	16	52.1	pseudogene
CTA-351J1.1	7	56.23	pseudogene
CTA-407F11.6	22	42.44	pseudogene
CTA-415G2.2	22	42.32	pseudogene
CTA-440B3.1	22	47.35	pseudogene
CTA-714B7.4	22	48.56	pseudogene
CTA-85E5.6	22	39.44	pseudogene
CTA-85E5.7	22	54.29	pseudogene
CTA-963H5.5	22	56.08	pseudogene
CTAG1A	X	65.85	protein_coding
CTAG1A	HG1497_PATCH	65.77	protein_coding
CTAG1A	HG1497_PATCH	65.72	protein_coding
CTAG1B	X	65.85	protein_coding
CTAG2	X	64.61	protein_coding
CTAG2	HG1497_PATCH	64.74	protein_coding
CTAGE1	18	38.2	protein_coding
CTAGE10P	13	42.4	pseudogene
CTAGE11P	13	40.97	pseudogene
CTAGE12P	9	41.03	pseudogene
CTAGE13P	6	43.87	pseudogene
CTAGE14P	2	41.7	pseudogene
CTAGE15P	7	41.92	pseudogene
CTAGE16P	13	42.16	pseudogene
CTAGE3P	13	42.1	pseudogene
CTAGE4	7	41.85	protein_coding
CTAGE5	14	38.29	protein_coding
CTAGE6P	7	42.02	pseudogene
CTAGE7P	10	40.95	pseudogene
CTAGE8	7	41.81	protein_coding
CTAGE9	6	41.58	protein_coding
CTB-1048E9.7	22	41.94	pseudogene
CTB-1144G6.5	10	47.58	pseudogene
CTB-118N6.1	5	53.12	pseudogene
CTB-134H23.3	16	45.98	pseudogene
CTB-135N1.2	19	40.81	pseudogene
CTB-13H5.1	5	43.68	pseudogene
CTB-147C22.3	19	49.4	pseudogene
CTB-147N14.3	19	53.42	pseudogene
CTB-147N14.4	19	51.03	pseudogene
CTB-14A14.1	5	54.39	pseudogene
CTB-14A14.2	5	55.13	pseudogene
CTB-158E9.2	5	41.18	pseudogene
CTB-159G17.2	19	41.78	pseudogene
CTB-161A2.3	7	45.79	pseudogene
CTB-161A2.4	7	65.72	pseudogene
CTB-161J7.1	5	34.56	pseudogene
CTB-161J7.2	5	33.96	pseudogene
CTB-161M19.1	5	44.72	pseudogene
CTB-161M19.2	5	45.9	pseudogene
CTB-162E12.1	17	55.46	pseudogene
CTB-164L20.1	5	52.52	pseudogene
CTB-167G5.3	19	46.14	pseudogene
CTB-167G5.6	19	50.54	pseudogene
CTB-175P5.1	19	36.96	pseudogene
CTB-175P5.2	19	51.05	pseudogene
CTB-179I1.1	4	41.54	pseudogene
CTB-179I1.2	4	42.26	pseudogene
CTB-186H2.1	17	43.8	pseudogene
CTB-186H2.2	17	40.71	pseudogene
CTB-187L3.1	19	46.62	pseudogene
CTB-1I21.2	5	43.22	pseudogene
CTB-20D2.1	7	43.93	pseudogene
CTB-23I7.1	5	42.23	pseudogene
CTB-23I7.2	5	41.22	pseudogene
CTB-27N1.2	5	55.21	pseudogene
CTB-2L9.1	5	40.28	pseudogene
CTB-31C7.3	19	43.46	pseudogene
CTB-31N19.2	16	51.08	pseudogene
CTB-33G10.1	19	59.25	pseudogene
CTB-36O1.3	5	42.22	pseudogene
CTB-36O1.7	5	46.85	pseudogene
CTB-45I8.1	5	46.84	pseudogene
CTB-46B19.1	5	51.67	pseudogene
CTB-46E9.1	5	42.54	pseudogene
CTB-47B11.1	5	42.3	pseudogene
CTB-47B8.1	5	55.23	pseudogene
CTB-47B8.4	5	41.59	pseudogene
CTB-47B8.5	5	59.83	pseudogene
CTB-49A3.1	5	42.58	pseudogene
CTB-50E14.5	19	44.91	pseudogene
CTB-50L17.2	19	54.4	pseudogene
CTB-51E13.1	4	55.29	pseudogene
CTB-51J22.1	7	58.91	antisense
CTB-52I2.1	19	50.45	pseudogene
CTB-52I2.3	19	51.36	pseudogene
CTB-52I2.4	19	50.8	pseudogene
CTB-52I2.8	19	54.7	pseudogene
CTB-54D4.1	7	43.55	pseudogene
CTB-55B8.1	5	52.59	pseudogene
CTB-55P19.1	16	36.62	pseudogene
CTB-56J15.1	5	49.09	pseudogene
CTB-60B18.15	19	63.81	pseudogene
CTB-60B18.17	19	63.26	pseudogene
CTB-60E11.11	19	44.94	pseudogene
CTB-60E11.12	19	44	pseudogene
CTB-61M7.1	19	47.06	processed_transcript
CTB-61M7.2	19	36.63	lincRNA
CTB-61M7.2	HSCHR19LRC_COX2_CTG1	36.63	lincRNA
CTB-63M22.1	5	55.25	pseudogene
CTB-70D19.1	5	54.96	pseudogene
CTB-75G16.1	17	57.52	pseudogene
CTB-75G16.1	HG75_PATCH	57.52	pseudogene
CTB-75G16.3	17	46.83	lincRNA
CTB-78O21.1	5	40.91	pseudogene
CTB-79E8.3	5	51.04	pseudogene
CTB-83J4.1	19	52.37	lincRNA
CTB-83J4.1	HSCHR19LRC_COX1_CTG1	53.48	lincRNA
CTB-83J4.2	19	36.48	lincRNA
CTB-83J4.2	HSCHR19LRC_COX1_CTG1	36.36	lincRNA
CTB-85P21.1	5	44.41	pseudogene
CTB-88F18.2	5	50.12	pseudogene
CTB-88F18.3	5	52.41	pseudogene
CTB-91J4.1	17	46.65	antisense
CTB-91J4.1	HG75_PATCH	59.5	pseudogene
CTB-91J4.3	17	66.01	pseudogene
CTB-95B16.1	5	52.66	pseudogene
CTBP1	4	60.99	protein_coding
CTBP1-AS1	4	46.78	processed_transcript
CTBP2	10	50.36	protein_coding
CTBP2P1	Y	53.06	pseudogene
CTBS	1	37.62	protein_coding
CTC1	17	48.75	protein_coding
CTC-209L16.1	5	40.73	pseudogene
CTC-232H10.1	5	54.64	pseudogene
CTC-232P5.4	19	52.06	pseudogene
CTC-233O10.1	X	37.9	pseudogene
CTC-233O10.1	HG1497_PATCH	37.94	pseudogene
CTC-235G5.1	5	42.56	pseudogene
CTC-235G5.2	5	43.35	pseudogene
CTC-246B18.2	19	62.49	pseudogene
CTC-250I14.1	19	51.81	pseudogene
CTC-250P20.1	5	45.69	pseudogene
CTC-250P20.2	5	52.01	pseudogene
CTC-258N23.3	19	36.73	pseudogene
CTC-260E6.2	HG730_PATCH	55.78	pseudogene
CTC-260E6.2	19	43.98	pseudogene
CTC-260E6.6	19	41.21	antisense
CTC-260E6.7	19	42.34	pseudogene
CTC-260E6.7	HG730_PATCH	42.34	pseudogene
CTC-260E6.8	19	54.22	pseudogene
CTC-260E6.8	HG730_PATCH	54.22	pseudogene
CTC-260E6.9	HG730_PATCH	44.92	pseudogene
CTC-260E6.9	19	44.92	pseudogene
CTC-260F20.7	19	46.77	pseudogene
CTC-278L1.1	5	43.64	pseudogene
CTC-280C13.1	5	53.07	pseudogene
CTC-281F24.2	17	48.3	pseudogene
CTC-281M20.2	5	41.82	pseudogene
CTC-281M20.3	5	49.15	pseudogene
CTC-287O8.1	5	40.18	pseudogene
CTC-298B17.1	5	48.08	pseudogene
CTC-303L1.1	5	35.82	pseudogene
CTC-308K20.3	5	42.59	pseudogene
CTC-308K20.4	5	50.1	pseudogene
CTC-312O10.2	19	48.2	pseudogene
CTC-327F10.1	5	49.02	pseudogene
CTC-327F10.3	5	50.28	pseudogene
CTC-329H14.1	5	49.9	pseudogene
CTC-337B15.1	5	58.05	pseudogene
CTC-340A15.1	5	61.42	pseudogene
CTC-342P15.1	5	37.47	pseudogene
CTC-344H19.6	19	38.85	pseudogene
CTC-352P4.1	HSCHR19_1_CTG3	40.35	pseudogene
CTC-359D24.3	19	38.76	pseudogene
CTC-360J11.4	19	44.4	pseudogene
CTC-362D12.1	5	56.64	pseudogene
CTC-369M3.1	8	41.67	pseudogene
CTC-370J7.1	5	34.31	pseudogene
